	Unnamed: 0	Clave	Ciudad	Cuenta de palabras
0	0	GUAD_H11_086	Guadalajara	5262
1	1	GUAD_H12_098	Guadalajara	7736
2	2	GUAD_H13_014	Guadalajara	7935
3	3	GUAD_H21_060	Guadalajara	6871
4	4	GUAD_H22_002	Guadalajara	7498
5	5	GUAD_H23_004	Guadalajara	8097
6	6	GUAD_H31_066	Guadalajara	7520
7	7	GUAD_H32_048	Guadalajara	8388
8	8	GUAD_H33_031	Guadalajara	8015
9	9	GUAD_M11_052	Guadalajara	11937
10	10	GUAD_M12_070	Guadalajara	5944
11	11	GUAD_M13_005	Guadalajara	9589
12	12	GUAD_M21_062	Guadalajara	6014
13	13	GUAD_M22_010	Guadalajara	8410
14	14	GUAD_M23_009	Guadalajara	7275
15	15	GUAD_M31_034	Guadalajara	10724
16	16	GUAD_M32_072	Guadalajara	5019
17	17	GUAD_M33_013	Guadalajara	10355
18	18	MEXI_H31_102	México, D.F.	8181
19	19	MXLI_H11_019	Mexicali	4249
20	20	MXLI_H12_011	Mexicali	8738
21	21	MXLI_H13_003	Mexicali	5926
22	22			6835
23	23	MXLI_H22_015	Mexicali	3796
24	24	MXLI_H23_004	Mexicali	5114
25	25	MXLI_H31_027	Mexicali	6561
26	26	MXLI_H32_018	Mexicali	7775
27	27	MXLI_H33_009	Mexicali	2959
28	28	MXLI_M11_046	Mexicali	7436
29	29	MXLI_M12_039	Mexicali	4888
30	30	MXLI_M13_029	Mexicali	12937
31	31	MXLI_M21_050	Mexicali	3481
32	32	MXLI_M22_042	Mexicali	9053
33	33			6611
34	34	MXLI_M31_052	Mexicali	4649
35	35	MXLI_M32_045	Mexicali	3406
36	36	MXLI_M33_035	Mexicali	6450
37	37	MEXI_H11_078	México, D.F.	10138
38	38	MEXI_H12_042	México, D.F.	11017
39	39	MEXI_H13_006	México, D.F.	15602
40	40	MEXI_H21_090	México, D.F.	8230
41	41	MEXI_H22_054	México, D.F.	20237
42	42	MEXI_H23_018	México, D.F.	11436
43	43	MEXI_H32_066	México, D.F.	7422
44	44	MEXI_H33_030	México, D.F.	7962
45	45	MEXI_M11_084	México, D.F.	9093
46	46	MEXI_M12_048	México, D.F.	9905
47	47	MEXI_M13_012	México, D.F.	10769
48	48	MEXI_M21_096	México, D.F.	10606
49	49	MEXI_M22_060	México, D.F.	10838
50	50	MEXI_M23_024	México, D.F.	29011
51	51	MEXI_M32_072	México, D.F.	13188
52	52	MEXI_M33_036	México, D.F.	8703
53	53	MONR_H12_016	Monterrey	5044
54	54	MONR_H13_025	Monterrey	11240
55	55	MONR_H21_041	Monterrey	6882
56	56	MONR_H22_052	Monterrey	15258
57	57	MONR_H23_066	Monterrey	13729
58	58	MONR_H31_076	Monterrey	12181
59	59	MONR_H32_086	Monterrey	16219
60	60	MONR_H33_099	Monterrey	14940
61	61	MONR_M11_008	Monterrey	5323
62	62	MONR_M12_022	Monterrey	16885
63	63	MONR_M13_033	Monterrey	12138
64	64	MONR_M21_044	Monterrey	11472
65	65	MONR_M22_060	Monterrey	18058
66	66	MONR_M23_067	Monterrey	12070
67	67	MONR_M31_082	Monterrey	13535
68	68	MONR_M32_094	Monterrey	15251
69	69	PUEB_H11_001	Puebla	17718
70	70	PUEB_H12_009	Puebla	13147
71	71	PUEB_H13_016	Puebla	10216
72	72	PUEB_H21_037	Puebla	13837
73	73	PUEB_H22_044	Puebla	20896
74	74	PUEB_H23_052	Puebla	11159
75	75	PUEB_H31_075	Puebla	13034
76	76	PUEB_H32_082	Puebla	7171
77	77	PUEB_H33_086	Puebla	15609
78	78	PUEB_M11_023	Puebla	8863
79	79	PUEB_M12_028	Puebla	8527
80	80	PUEB_M13_031	Puebla	10136
81	81	PUEB_M21_056	Puebla	31924
82	82	PUEB_M22_061	Puebla	8203
83	83	PUEB_M23_069	Puebla	22390
84	84	PUEB_M31_091	Puebla	12316
85	85	PUEB_M32_097	Puebla	10759
86	86	MONR_HMP_005	Monterrey	7455
